Domain,date
Frontier Communications Corporation,2026-05-07
Fujitsu Limited,2026-05-07
Not assigned,2026-05-07
Radix Technologies Inc.,2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Dog Beach, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF),2026-05-07
Asociación puntoGAL,2026-05-07
"Binky Moon, LLC",2026-05-07
"Gallo Vineyards, Inc.",2026-05-07
"Gallup, Inc.",2026-05-07
XYZ.COM LLC,2026-05-07
"Dog Beach, LLC",2026-05-07
"The Gap, Inc.",2026-05-07
"Registry Services, LLC",2026-05-07
"Registry Services, LLC",2026-05-07
Reserved Domain - IANA,2026-05-07
Charleston Road Registry Inc.,2026-05-07
The National Telecommunications Regulatory Commission (NTRC),2026-05-07
"Joint Stock Company ""Navigation-information systems""",2026-05-07
Caucasus Online LLC,2026-05-07
GEA Group Aktiengesellschaft,2026-05-07
Easyhost bv,2026-05-07
Resorts World Inc. Pte. Ltd.,2026-05-07
"Wal-Mart Stores, Inc.",2026-05-07
CANAL+ TELECOM,2026-05-07
Island Networks Ltd.,2026-05-07
"GMO Internet, Inc.",2026-05-07
Network Computer Systems Limited,2026-05-07
Sapphire Networks,2026-05-07
"Uniregistry, Corp.",2026-05-07
"Binky Moon, LLC",2026-05-07
Public Interest Registry (PIR),2026-05-07
Public Interest Registry (PIR),2026-05-07
TELE Greenland A/S,2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
Charleston Road Registry Inc.,2026-05-07
Identity Digital Limited,2026-05-07
Globo Comunicação e Participações S.A,2026-05-07
GM-NIC,2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Binky Moon, LLC",2026-05-07
"GMO Internet, Inc.",2026-05-07
1&1 Mail & Media GmbH,2026-05-07
Centre National des Sciences Halieutiques de Boussoura,2026-05-07
"Go Daddy East, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"YODOBASHI CAMERA CO.,LTD.",2026-05-07
"Binky Moon, LLC",2026-05-07
Not assigned,2026-05-07
Not assigned,2026-05-07
The Goodyear Tire & Rubber Company,2026-05-07
Charleston Road Registry Inc.,2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Republican State Leadership Committee, Inc.",2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Cybersecurity and Infrastructure Security Agency,2026-05-07
Networking Technologies Group,2026-05-07
GETESA,2026-05-07
ICS-FORTH GR,2026-05-07
"Grainger Registry Services, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Identity Digital Limited,2026-05-07
"Binky Moon, LLC",2026-05-07
"Wal-Mart Stores, Inc.",2026-05-07
"Binky Moon, LLC",2026-05-07
Government of South Georgia and South Sandwich Islands (GSGSSI),2026-05-07
Universidad del Valle de Guatemala,2026-05-07
University of Guam,2026-05-07
Not assigned,2026-05-07
Guccio Gucci S.p.a.,2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Binky Moon, LLC",2026-05-07
XYZ.COM LLC,2026-05-07
"Binky Moon, LLC",2026-05-07
Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau,2026-05-07
University of Guyana,2026-05-07
XYZ.COM LLC,2026-05-07
Hamburg Top-Level-Domain GmbH,2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Dog Beach, LLC",2026-05-07
"HBO Registry Services, Inc.",2026-05-07
HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,2026-05-07
HDFC Bank Limited,2026-05-07
"Registry Services, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Innovation Service Ltd,2026-05-07
City of Helsinki,2026-05-07
Charleston Road Registry Inc.,2026-05-07
Hermes International,2026-05-07
Not assigned,2026-05-07
"Dot Hip Hop, LLC",2026-05-07
"Hisamitsu Pharmaceutical Co.,Inc.",2026-05-07
"Hitachi, Ltd.",2026-05-07
Internet Naming Co.,2026-05-07
Hong Kong Internet Registration Corporation Ltd.,2026-05-07
PCCW-HKT DataCom Services Limited,2026-05-07
